0,1,2,credits,imdbId,movieId,overview,popularity,production_countries,release_date,tmdbId,vote_average
1,Toy Story (1995),Animation|Children's|Comedy,John Lasseter,114709.0,1.0,"Led by Woody, Andy's toys live happily in his room until Andy's birthday brings Buzz Lightyear onto the scene. Afraid of losing his place in Andy's heart, Woody plots against Buzz. But when circumstances separate Buzz and Woody from their owner, the duo eventually learns to put aside their differences.",25.929,United States of America,1995-10-30,862.0,7.9
2,Jumanji (1995),Adventure|Children's|Fantasy,Joe Johnston,113497.0,2.0,"When siblings Judy and Peter discover an enchanted board game that opens the door to a magical world, they unwittingly invite Alan -- an adult who's been trapped inside the game for 26 years -- into their living room. Alan's only hope for freedom is to finish the game, which proves risky as all three find themselves running from giant rhinoceroses, evil monkeys and other terrifying creatures.",4.426,United States of America,1995-12-15,8844.0,7.1
3,Grumpier Old Men (1995),Comedy|Romance,Howard Deutch,113228.0,3.0,"A family wedding reignites the ancient feud between next-door neighbors and fishing buddies John and Max. Meanwhile, a sultry Italian divorcée opens a restaurant at the local bait shop, alarming the locals who worry she'll scare the fish away. But she's less interested in seafood than she is in cooking up a hot time with Max.",5.768,United States of America,1995-12-22,15602.0,6.5
4,Waiting to Exhale (1995),Comedy|Drama,Forest Whitaker,114885.0,4.0,"Cheated on, mistreated and stepped on, the women are holding their breath, waiting for the elusive ""good man"" to break a string of less-than-stellar lovers. Friends and confidants Vannah, Bernie, Glo and Robin talk it all out, determined to find a better way to breathe.",4.717,United States of America,1995-12-22,31357.0,6.1
5,Father of the Bride Part II (1995),Comedy,Nancy Meyers,113041.0,5.0,"Just when George Banks has recovered from his daughter's wedding, he receives the news that she's pregnant ... and that George's wife, Nina, is expecting too. He was planning on selling their home, but that's a plan that -- like George -- will have to change with the arrival of both a grandchild and a kid of his own.",6.199,United States of America,1995-02-10,11862.0,6.1
6,Heat (1995),Action|Crime|Thriller,Michael Mann,113277.0,6.0,"Obsessive master thief, Neil McCauley leads a top-notch crew on various daring heists throughout Los Angeles while determined detective, Vincent Hanna pursues him without rest. Each man recognizes and respects the ability and the dedication of the other even though they are aware their cat-and-mouse game may end in violence.",12.903,United States of America,1995-12-15,949.0,7.8
7,Sabrina (1995),Comedy|Romance,Sydney Pollack,114319.0,7.0,"An ugly duckling having undergone a remarkable change, still harbors feelings for her crush: a carefree playboy, but not before his business-focused brother has something to say about it.",7.62,Germany,1995-12-15,11860.0,6.1
8,Tom and Huck (1995),Adventure|Children's,Peter Hewitt,112302.0,8.0,"A mischievous young boy, Tom Sawyer, witnesses a murder by the deadly Injun Joe. Tom becomes friends with Huckleberry Finn, a boy with no future and no family. Tom has to choose between honoring a friendship or honoring an oath because the town alcoholic is accused of the murder. Tom and Huck go through several adventures trying to retrieve evidence.",3.666,United States of America,1995-12-22,45325.0,5.3
9,Sudden Death (1995),Action,Peter Hyams,114576.0,9.0,When a man's daughter is suddenly taken during a championship hockey game – with the captors demanding a billion dollars by game's end – he frantically sets a plan in motion to rescue her and abort an impending explosion before the final buzzer.,6.4,United States of America,1995-10-27,9091.0,5.7
10,GoldenEye (1995),Action|Adventure|Thriller,Martin Campbell,113189.0,10.0,James Bond must unmask the mysterious head of the Janus Syndicate and prevent the leader from utilizing the GoldenEye weapons system to inflict devastating revenge on Britain.,22.596,United Kingdom,1995-11-16,710.0,6.8
11,"American President, The (1995)",Comedy|Drama|Romance,Rob Reiner,112346.0,11.0,"Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.",8.217,United States of America,1995-11-17,9087.0,6.6
12,Dracula: Dead and Loving It (1995),Comedy|Horror,Mel Brooks,112896.0,12.0,"When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Dr. van Helsing, who may be the only one able to vanquish the count.",8.981,France,1995-12-22,12110.0,5.8
13,Balto (1995),Animation|Children's,Simon Wells,112453.0,13.0,"An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.",9.842,United States of America,1995-12-22,21032.0,7.3
14,Nixon (1995),Drama,Oliver Stone,113987.0,14.0,"An all-star cast powers this epic look at American President Richard M. Nixon, a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within. Spanning his troubled boyhood in California to the shocking Watergate scandal that would end his presidency.",6.459,United States of America,1995-12-22,10858.0,7.0
15,Cutthroat Island (1995),Action|Adventure|Romance,Renny Harlin,112760.0,15.0,"Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.",8.629,France,1995-12-22,1408.0,5.8
16,Casino (1995),Drama|Thriller,Martin Scorsese,112641.0,16.0,"In early-1970s Las Vegas, low-level mobster Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger.",11.058,France,1995-11-22,524.0,7.9
17,Sense and Sensibility (1995),Drama|Romance,Ang Lee,114388.0,17.0,"Rich Mr. Dashwood dies, leaving his second wife and her daughters poor by the rules of inheritance. Two daughters are the titular opposites.",8.767999999999999,United Kingdom,1995-12-13,4584.0,7.4
18,Four Rooms (1995),Thriller,Combustible Edison,113101.0,18.0,It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.,10.991,United States of America,1995-12-09,5.0,6.3
19,Ace Ventura: When Nature Calls (1995),Comedy,Steve Oedekerk,112281.0,19.0,"Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.",12.028,United States of America,1995-11-10,9273.0,6.2
20,Money Train (1995),Action,Joseph Ruben,113845.0,20.0,"A vengeful New York transit cop decides to steal a trainload of subway fares; his foster brother, a fellow cop, tries to protect him.",8.228,United States of America,1995-11-21,11517.0,5.6
21,Get Shorty (1995),Action|Comedy|Drama,Barry Sonnenfeld,113161.0,21.0,"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different.",12.448,United States of America,1995-10-20,8012.0,6.5
22,Copycat (1995),Crime|Drama|Thriller,Mark Tarlov,112722.0,22.0,An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.,6.162,United States of America,1995-10-27,1710.0,6.5
23,Assassins (1995),Thriller,Richard Donner,112401.0,23.0,"Assassin Robert Rath arrives at a funeral to kill a prominent mobster, only to witness a rival hired gun complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his female target and becomes a marked man himself.",12.355,France,1995-10-06,9691.0,6.2
24,Powder (1995),Drama|Sci-Fi,Victor Salva,114168.0,24.0,"Harassed by classmates who won't accept his shocking appearance, a shy young man known as ""Powder"" struggles to fit in. But the cruel taunts stop when Powder displays a mysterious power that allows him to do incredible things. This phenomenon changes the lives of all those around him in ways they never could have imagined.",8.52,United States of America,1995-10-27,12665.0,6.3
25,Leaving Las Vegas (1995),Drama|Romance,Mike Figgis,113627.0,25.0,"Ben Sanderson, an alcoholic Hollywood screenwriter who lost everything because of his drinking, arrives in Las Vegas to drink himself to death. There, he meets and forms an uneasy friendship and non-interference pact with prostitute Sera.",11.432,United States of America,1995-10-27,451.0,7.2
26,Othello (1995),Drama,Oliver Parker,114057.0,26.0,The evil Iago pretends to be friend of Othello in order to manipulate him to serve his own end in the film version of this Shakespeare classic.,4.56,Italy,1995-12-15,16420.0,6.6
27,Now and Then (1995),Drama,Lesli Linka Glatter,114011.0,27.0,"Waxing nostalgic about the bittersweet passage from childhood to puberty in this tender coming-of-age tale, four childhood girlfriends -- Teeny, Chrissy, Samantha and Roberta -- recall the magical summer of 1970. During their walk down memory lane, they reconcile experiences with boys, secrets, bullies and more.",5.636,United States of America,1995-10-20,9263.0,6.8
28,Persuasion (1995),Romance,Roger Michell,114117.0,28.0,"This film adaptation of Jane Austen's last novel follows Anne Elliot, the daughter of a financially troubled aristocratic family, who is persuaded to break her engagement to Frederick Wentworth, a young sea captain of meager means. Years later, money troubles force Anne's father to rent out the family estate to Admiral Croft, and Anne is again thrown into company with Frederick -- who is now rich, successful and perhaps still in love with Anne.",3.143,France,1995-05-01,17015.0,7.6
29,"City of Lost Children, The (1995)",Adventure|Sci-Fi,Tōru Murakawa,,,"Allegedly based on a true story, this film follows the life of Toshi, a Japanese man living in America and working with the New York City police. After being recommended for undercover work, Toshi decides to go after a gang lead by Hawk. Hawk and Toshi soon become friends, although Hawk's second-in-command, Tito, is suspicious of the newcomer. Will Toshi be able to bring the gang down, or will his cover be blown before he can finish the assignment?",0.84,Japan,1993-08-14,,0.0
30,Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),Drama,Zhang Yimou,115012.0,30.0,A provincial boy related to a Shanghai crime family is recruited by his uncle into cosmopolitan Shanghai in the 1930s to be a servant to a ganglord's mistress.,2.773,China,1995-04-30,37557.0,7.0
31,Dangerous Minds (1995),Drama,John N. Smith,112792.0,31.0,"Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.",6.19,United States of America,1995-08-11,9909.0,6.5
32,Twelve Monkeys (1995),Drama|Sci-Fi,Kayo Hatta,,,"Riyo, an orphaned 17-year old, sails from Yokohama to Hawaii in 1918 to marry Matsuji, a man she has never met. Hoping to escape a troubled past and start anew, Riyo is bitterly disappointed upon her arrival: her husband is twice her age. The miserable girl finds solace with her new friend Kana, a young mother who helps Riyo accept her new life.",1.246,Japan,1995-05-05,,6.8
33,Wings of Courage (1995),Adventure|Romance,Krzysztof Kieślowski,114952.0,33.0,"Part-time model Valentine meets a retired judge who lives in her neighborhood after she runs over his dog. At first the judge gifts Valentine with the dog, but her possessive boyfriend won't allow her to keep it. When she returns with the dog to the judge's house, she discovers him listening in on his neighbors' phone conversations. At first Valentine is outraged, but her debates with the judge over his behavior soon leads them to form a strange bond.",9.269,France,1994-05-27,78802.0,8.1
34,Babe (1995),Children's|Comedy|Drama,Chris Noonan,112431.0,34.0,"Babe is a little pig who doesn't quite know his place in the world. With a bunch of odd friends, like Ferdinand the duck who thinks he is a rooster and Fly the dog he calls mom, Babe realizes that he has the makings to become the greatest sheep pig of all time, and Farmer Hogget knows it. With the help of the sheep dogs Babe learns that a pig can be anything that he wants to be.",9.165,Australia,1995-07-18,9598.0,6.1
35,Carrington (1995),Drama|Romance,Christopher Hampton,112637.0,35.0,"Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.",2.221,France,1995-05-25,47018.0,6.9
36,Dead Man Walking (1995),Drama,Tim Robbins,112818.0,36.0,A justice drama based on a true story about a man on death row who in his last days forms a strong relationship with a nun who teaches him forgiveness and gives him spirituality as she accompanies him to his execution.,11.745,United States of America,1995-12-29,687.0,7.4
37,Across the Sea of Time (1995),Documentary,Stephen Low,112286.0,37.0,"A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography. The boy follows his relative's traces by counter-checking the old 3D-Photographs of New York (using an antique viewer) with the same places and how they look today. This way, the audience gets to see the Big Apple in former times as well as today.",0.6,United States of America,1995-10-20,139405.0,4.3
38,It Takes Two (1995),Comedy,Andy Tennant,113442.0,38.0,"Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.",7.883999999999999,United States of America,1995-11-17,33689.0,6.3
39,Clueless (1995),Comedy|Romance,Amy Heckerling,112697.0,39.0,"Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.",9.574,United States of America,1995-07-19,9603.0,7.2
40,"Cry, the Beloved Country (1995)",Drama,Darrell James Roodt,112749.0,40.0,A South-African preacher goes to search for his wayward son who has committed a crime in the big city.,1.4,South Africa,1995-12-15,34615.0,6.7
41,Richard III (1995),Drama|War,Richard Loncraine,114279.0,41.0,Shakespeare's Play transplanted into a 1930s setting.,6.2360000000000015,United Kingdom,1995-12-29,31174.0,6.9
42,Dead Presidents (1995),Action|Crime|Drama,Albert Hughes,112819.0,42.0,"Depicts a heist of old bills, retired from circulation and destined by the government to be ""money to burn"". However, more broadly, it addresses the issues of Black Americans' involvement in the Vietnam War and their subsequent disillusionment with progress in social issues and civil rights back home in the United States, during the 1960s.",8.422,United States of America,1995-10-06,11443.0,6.6
43,Restoration (1995),Drama,Michael Hoffman,114272.0,43.0,"An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.",5.247000000000001,United States of America,1995-12-29,35196.0,6.5
